"","id","original_title","title","original_language","overview","tagline","release_date","poster_path","popularity","vote_count","vote_average","budget","revenue","runtime","status","adult","backdrop_path","genre_names","collection","collection_name"
"476",1813,"The Devil's Advocate","The Devil's Advocate","en","Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned.","Evil has its winning ways.",1997-10-17,"/5ZzBGpxy55OQzHxKVY11IpY6a0o.jpg",35.073,4887,7.4,5.7e+07,152944660,144,"Released",FALSE,"/i9lR2jLV0dHVfVs1u6QqqbQAE9I.jpg","Drama, Horror, Mystery, Thriller",NA,NA
"477",11906,"Suspiria","Suspiria","it","An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.","The only thing more terrifying than the last 12 minutes of this film are the first 80.",1977-02-01,"/5ya8jTbNZTrCFUx9OwpNBjCivXY.jpg",34.891,2367,7.5,0,2884265,99,"Released",FALSE,"/j7rl2LphIbC88FppTfwJ5Gxj9kX.jpg","Horror",868672,"The Three Mothers Collection"
"478",10823,"Children of the Corn","Children of the Corn","en","A boy preacher named Isaac goes to a town in Nebraska called Gatlin and gets all the children to murder every adult in town.","In their world adults are not allowed... to live.",1984-03-09,"/jJTrFHu3rjAgP1lryKGEsC9hqyM.jpg",34.686,796,5.7,8e+05,14568989,92,"Released",FALSE,"/h7nrngTouejDkG1MuTVtExheyUy.jpg","Horror, Thriller",115225,"Children of the Corn Collection"
"479",438799,"Overlord","Overlord","en","France, June 1944. On the eve of D-Day, some American paratroopers fall behind enemy lines after their aircraft crashes while on a mission to destroy a radio tower in a small village near the beaches of Normandy. After reaching their target, the surviving paratroopers realise that, in addition to fighting the Nazi troops that patrol the village, they also must fight against something else.","Stop the unstoppable.",2018-11-01,"/l76Rgp32z2UxjULApxGXAPpYdAP.jpg",34.624,2406,6.7,3.8e+07,41657844,110,"Released",FALSE,"/sHNC8hjAu4ZKXYhG3cp8ghRZ02B.jpg","Horror, Science Fiction, War",NA,NA
"48",632357,"The Unholy","The Unholy","en","Alice is young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.","Be careful who you pray to.",2021-03-31,"/bShgiEQoPnWdw4LBrYT5u18JF34.jpg",207.113,1737,6.7,1e+07,30833138,99,"Released",FALSE,"/jw6ASGRT2gi8EjCImpGtbiJ9NQ9.jpg","Horror, Mystery",NA,NA
"480",753926,"Toys of Terror","Toys of Terror","en","A big family moves into a dusty old house in the snowy woods of Washington with hopes of it being a nice holiday escape. But the kids soon discover a stash of old toys that just so happen to belong to a creepy ghost boy. As stranger and stranger things start to happen, some of the kids begin to sense that something in the house is not quite right…",NA,2021-12-02,"/c6hmAgPVXxZHwMHfS9z3W2n9Gz9.jpg",34.393,11,6.3,0,0,89,"Released",FALSE,"/j6Er72CMHKiZgFr0HBMbuyj7Ssa.jpg","Horror",NA,NA
"481",1992,"Planet Terror","Planet Terror","en","Two doctors find their graveyard shift inundated with townspeople ravaged by sores. Among the wounded is Cherry, a dancer whose leg was ripped from her body. As the invalids quickly become enraged aggressors, Cherry and her ex-boyfriend Wray lead a team of accidental warriors into the night.","Humanity's last hope… rests on a high power machine gun!",2007-04-06,"/30ANoUgvqQZ9tgCnM6OyJZUveaf.jpg",34.376,2881,6.6,0,0,105,"Released",FALSE,"/hQI1nR09wFYoojtHIiq9at1N80c.jpg","Action, Horror, Thriller",NA,NA
"482",5876,"The Mist","The Mist","en","After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.","Belief divides them, mystery surrounds them, but fear changes everything.",2007-11-21,"/1CvJ6diBACKPVGOpcWuY4XPQdqX.jpg",34.23,4147,6.9,1.8e+07,57470220,126,"Released",FALSE,"/3WrR2rYX7nHWnBhWHLZptsJ2bEj.jpg","Horror, Science Fiction, Thriller",NA,NA
"483",315011,"シン・ゴジラ","Shin Godzilla","ja","When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.","God help us",2016-07-29,"/9TdP3lOYereXW6lJp3ayPkB8muP.jpg",34.129,866,7.1,1.5e+07,77947607,120,"Released",FALSE,"/9nyToPG5mhfm4KiPGChu35jH9QZ.jpg","Action, Horror, Science Fiction",NA,NA
"484",599281,"Fear of Rain","Fear of Rain","en","A teenage girl living with schizophrenia begins to suspect her neighbor has kidnapped a child. Her parents try desperately to help her live a normal life, without exposing their own tragic secrets, and the only person who believes her is Caleb – a boy she isn’t even sure exists.","Some voices you can't outrun.",2021-02-12,"/5hmaACPJfI2M0v38DeltW3dSggT.jpg",34.067,391,7.1,0,0,109,"Released",FALSE,"/vxZaw8C5w4XlYEPtptzKJ7lBIFH.jpg","Drama, Horror, Thriller",NA,NA
